County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
Bell County,KY,27778,28691,-3.2,6.4,21.6,17.3,51.3,95.2,2.4,0.2,0.4,0.1,1.7,1,94.4,1668,0.3,68.3,10.8,13097,15.4,67.7,67300,20,11109,2.46,90.6,0.9,21.4,26228,15091,33.5,381,0,1961,3748,12915,79.9,359
Alger County,MI,9459,9601,-1.5,3.4,15.4,23.7,45,85.5,6.9,4,0.5,0,3.1,1.3,84.6,1100,1.4,89.4,17.1,6593,5.4,84.9,117100,28,3607,2.34,82.8,3.2,21.1,37586,19717,14.8,142,1938,0,543,5636,10.5,915.07
Etowah County,AL,103531,104430,-0.9,5.7,22.1,17.3,51.6,81.2,15.5,0.5,0.8,0.3,1.6,3.7,78.4,8638,2.2,81.8,14.8,47505,12.1,72.4,100000,79,40217,2.55,85,3.1,23.9,38013,20204,19,1379,12529,5184,11148,10801,195.2,534.99
Colusa County,CA,21419,21419,0,7.4,28,13.1,48.6,91.6,1.2,2.6,1.8,0.6,2.3,58.1,36.7,1126,23.3,69.4,13.8,7938,12,63.3,181600,58,6853,3.07,82.4,46.3,21.2,52158,21579,12.5,916,2884,1832,2085,9884,18.6,1150.73
Howard County,TX,36651,35012,4.7,6,21.9,12.3,43.1,88.5,7,1.6,1.2,0.1,1.6,40.3,51,2843,10.6,74.1,12.1,13117,13.2,67.8,65900,33,11010,2.69,79.2,28.4,16.2,45612,19965,15.3,425,24495,884,3412,10608,38.9,900.79
Phelps County,NE,9187,9188,0,7,23.8,20.1,50.3,97.6,0.5,0.5,0.4,0,0.9,5.3,92.7,722,1.9,94.2,21.7,4208,10.7,72.1,100700,14,3808,2.35,87.1,3.4,14.1,50000,26856,9.1,90,0,1520,945,10350,17,539.79
Surry County,NC,72968,73673,-1,5.3,22.2,18.9,51.1,93.4,4.1,0.6,0.7,0.1,1.1,10.1,84.3,4760,5.7,75.3,15,33556,6.9,72.8,109900,73,29967,2.42,91.1,9.5,25.3,35641,20219,19.9,849,10380,0,10540,14614,138.4,532.17
Des Moines County,IA,40255,40325,-0.2,6,23,18.8,50.9,90.4,5.9,0.3,0.9,0.1,2.5,2.9,88,3575,1.5,91.1,18.9,18463,16.2,73.1,93900,41,16993,2.33,86.9,2.6,15.9,42451,24408,13.8,687,0,0,6169,15182,96.9,416.12
Douglas County,KS,116585,110826,5.2,5.2,19,10.3,50.1,84.3,4.6,2.7,4.6,0.1,3.7,5.8,79.7,5957,6.5,95.1,49.6,48278,31.7,52,180300,347,43398,2.38,71.6,9.9,20.1,49508,26342,19,2137,9764,0,12022,10601,243.1,455.87
Casey County,KY,15891,15955,-0.4,6.5,22.6,18.8,51.3,97.6,0.7,0.4,0.3,0.1,0.9,2.9,95.1,1211,1.2,69.7,8.4,7405,2,80.8,70400,0,6050,2.59,88.3,3.5,28.7,29934,15603,26.8,63,1890,348,718,4408,35.9,444.23
Montgomery County,PA,816857,799874,2.1,5.6,22,16.4,51.4,81,9.4,0.2,7.4,0.1,1.9,4.8,77.1,50355,9.7,93.5,45.5,327451,24.4,73.2,292600,1752,307488,2.55,89.7,12.5,27.5,79183,41472,6.1,14779,203987,120124,151512,19534,1655.9,483.04
Collingsworth County,TX,3017,3057,-1.3,7.5,28.3,17.5,51.1,89,5.9,2.5,0.5,0,2,32.4,59.8,204,12,79,18.9,1609,7.4,78.5,66400,0,1174,2.54,85.9,23.8,19.3,41576,22847,20.4,13,0,0,171,5788,3.3,918.44
Vanderburgh County,IN,182006,179703,1.3,6.4,22,15.2,51.6,86.5,9.4,0.3,1.3,0.1,2.5,2.5,84.4,13397,2.5,89.2,22.6,83400,26.2,63.6,112900,322,73963,2.34,84.2,4,18.9,43540,24378,15.9,5168,64475,29078,30258,17308,769.7,233.48
Hamilton County,NE,9135,9124,0.2,5.8,24.5,17.8,49.7,98.1,0.4,0.3,0.3,0,1,2.9,95.4,805,0.9,93.4,24.1,4041,9.6,77.6,113300,36,3488,2.56,90.1,2.5,17.2,56065,26715,10.1,50,4633,3754,1011,10863,16.8,542.88
Atkinson County,GA,8223,8375,-1.9,8.4,28.1,11.8,49.6,77,17.9,1.3,0.8,1,2,23.9,56.9,540,12.2,64.6,7.7,3461,7.4,69.9,75000,0,2758,3,87.6,20.5,21.2,30049,15958,32.2,9,0,0,356,4367,24.7,339.38
Monroe County,IN,143339,137974,3.9,4.5,16.1,11.4,50.2,87.3,3.5,0.3,6.4,0.1,2.4,3.3,84.5,7448,7.9,91.9,43.4,60112,34.6,54,156300,521,53914,2.32,67.7,9.9,18.2,40052,23032,25.1,2877,17992,6831,15307,11968,349.7,394.51
Oldham County,TX,2070,2052,0.9,4,28.1,13.9,48.9,92.3,3.6,1.1,1.2,0,1.8,14.6,78.6,83,3.5,87.3,31.3,846,4.9,72.6,83700,0,748,2.35,88.2,10.4,17.6,48929,22519,14.2,29,0,0,167,8118,1.4,1500.53
Lafayette Parish,LA,235644,221578,6.3,6.8,23.9,11.3,51.1,70.2,26.1,0.4,1.7,0.1,1.5,4.5,66.4,13976,4.4,85.5,28.3,97492,21.8,65.5,162500,1812,86504,2.54,84.7,15,22.8,51462,28901,16.7,5846,20372,26514,38142,18588,824.6,268.72
DeKalb County,AL,71065,71109,-0.1,6.2,24.7,15.7,50.7,92.4,2.1,2.1,0.4,0.7,2.2,14.2,80.6,4371,7.5,70.6,10.7,31035,6.7,76.3,93400,31,24923,2.82,90.9,11.2,23.3,37851,18149,19.9,679,18316,0,6351,9303,91.5,777.09
Moore County,TX,22148,21904,1.1,9.5,31.3,10.2,47.9,85.5,3,1.5,8.6,0.2,1.2,52.8,34.9,582,28.3,67.5,13.2,7983,12.6,72.8,85600,16,6820,3.2,80.6,54.1,16.4,51181,19770,15.4,229,0,0,2178,10995,24.3,899.69
Miami County,OH,103900,102506,1.4,5.7,23.2,17.3,50.6,94.3,2.2,0.3,1.4,0,1.8,1.5,93,8546,1.7,88.4,19.7,44261,17.1,71.2,133700,148,41239,2.47,85.9,2.7,20.6,52040,25369,13,1276,28073,41689,10804,10704,252.1,406.58
Warren County,VA,38987,37575,4.2,5.8,22.6,14.5,50.1,91.2,5.1,0.5,1.1,0.1,2.1,4.1,87.5,3584,3.7,84,20.5,16123,10,72.5,219000,87,14387,2.58,87.7,4.7,39.9,61610,28889,9.3,412,0,186,3696,10182,176,213.47
Comanche County,KS,1954,1891,3.3,7.6,26.6,22.9,51.1,97.3,0.3,0.6,0.3,0.1,1.5,5,92.5,140,2,92.1,23.9,1036,8.6,75.5,54100,0,791,2.33,92.8,3.7,11.1,39375,21041,6.4,14,0,0,102,5608,2.4,788.3
Deuel County,SD,4312,4364,-1.2,5.5,23,21,48.4,97.5,1,0.4,0.1,0,1,3.1,94.7,456,1.8,87.8,20.1,2215,9.6,85,93700,1,1789,2.41,90.5,3.5,19,51632,27525,4.7,24,0,0,363,8651,7,622.69
Mobile County,AL,415123,412992,0.5,6.7,24,14.5,52.2,60.1,35.3,1,2,0.1,1.5,2.8,57.8,33586,3.2,83.9,20.7,181611,17.4,66.6,124300,746,155178,2.6,85.8,5,23.9,43028,22501,19.8,5624,124071,32687,52254,12895,335.9,1229.44
Van Buren County,IA,7468,7570,-1.3,6.7,23.3,20.8,49.2,98.1,0.3,0.2,0.5,0,0.9,1.3,96.9,668,0.8,87.2,14.4,3623,6.1,85.8,69700,0,3023,2.45,89.4,5.2,23.4,43181,21368,16.5,0,0,0,369,4810,15.6,484.79
Roger Mills County,OK,3761,3647,3.1,6.6,25.7,18.3,49.5,89.9,0.6,6.6,0.5,0.1,2.3,6.9,84.4,258,2.2,91.3,19.7,1901,2,78.8,81300,1,1305,2.82,93.3,3.7,26.7,53885,27326,13.2,19,0,0,428,13078,3.2,1141.14
Gallatin County,KY,8589,8589,0,6.5,25.6,12.3,49.5,95.8,1.8,0.2,0.5,0.1,1.7,5.1,91.3,721,4.8,75.2,8.8,3832,12,68.3,98400,13,2995,2.81,82.8,5.4,27.3,43793,19020,20.7,0,0,0,373,4619,84.8,101.23
Bristol County,MA,554194,548285,1.1,5.2,21.1,15.7,51.5,90.4,4.7,0.6,2.2,0.1,2,6.9,85.1,33409,11.9,81.9,25.3,231286,42,63.1,278100,823,210037,2.54,88.9,20.6,27,55298,28837,12.4,8852,88781,77197,86476,15882,991.3,553.1
Falls Church County,VA,13601,12332,10.7,7.3,26.6,11.4,51,80.6,5.3,0.5,9.3,0.1,4.3,9.5,72.3,686,16.9,97.3,74.4,5496,44.2,59.4,660900,547,5020,2.53,79.1,23.4,27.3,120000,59088,4,562,0,0,2880,26089,6169.1,2
Montgomery County,IN,38146,38124,0.1,6.3,23.3,16.6,49.6,96.6,1,0.4,0.6,0,1.3,4.5,92.5,2793,2.6,87.8,17.8,16540,13.3,72.2,108300,45,14590,2.53,86.5,4.6,21.1,46797,22679,16.8,484,27683,3686,4292,11343,75.6,504.61
Lemhi County,ID,7726,7936,-2.6,4,18.2,27.3,49.3,95.8,0.5,1.2,0.6,0,2,3.1,93.3,1004,1.5,90.4,23.8,4746,6.6,71.3,186900,11,3832,2,86.6,2.8,15.1,34122,23998,23.3,77,0,0,1229,15806,1.7,4563.39
Fulton County,OH,42580,42698,-0.3,5.9,24.2,16.2,50.6,97.3,0.7,0.4,0.4,0,1.1,8.2,89.8,2755,1.8,88.6,16.3,17365,11.7,80.1,128900,43,16285,2.59,88.1,4.2,23.3,52856,24771,11.4,346,33304,2388,4059,9561,105.3,405.44
Fayette County,IN,23468,24277,-3.4,5.3,22.6,18.4,50.5,96.9,1.6,0.2,0.3,0,1,0.9,96,2146,0.7,77.3,8.9,10816,14.9,72,81700,11,9536,2.48,83.9,2.3,25,37391,18757,23,216,4864,859,2088,8604,112.9,215.01
Adair County,KY,19204,18656,2.9,5.5,21,16.4,50.6,95.1,3,0.3,0.3,0.1,1.2,1.9,93.5,1378,0.9,73.7,13.9,8504,6.8,74.7,78600,0,7241,2.44,88.4,2,25.1,32524,17371,19.1,90,0,547,1370,7655,46,405.28
Worcester County,MA,813475,798552,1.9,5.6,22,14.1,50.7,87.5,5.3,0.4,4.7,0.1,2,10.5,78.8,53990,11.3,89.4,33.8,329085,36.7,65.7,259200,1268,299663,2.59,88,18.2,27.9,65223,31537,11.2,11507,107060,69137,100571,12634,528.6,1510.77
Delta County,TX,5238,5231,0.1,5.3,22,22,50.5,86.5,8,1.9,0.6,0,2.9,7.2,80.5,548,1,85.4,16.2,2466,3.8,83,71600,2,1929,2.67,85.4,1.9,27.7,40375,20150,17.9,0,0,0,264,4920,20.4,256.83
Major County,OK,7750,7527,3,7.4,25,18.7,50.9,92.9,0.9,3,0.4,0.1,2.7,9.1,85.5,617,3.3,87.4,16.6,3662,6.8,75.6,85300,4,3084,2.43,85.8,5.4,21.2,49905,27168,12.6,35,0,395,787,10966,7.9,954.99
Hockley County,TX,23577,22935,2.8,7.4,26.9,13.5,50.6,92.3,4.4,1.5,0.5,0,1.3,46.7,48,1163,7.4,77.3,17.4,9291,8.5,69.7,79300,15,7973,2.81,80,31.4,19.5,50565,21984,15.7,197,0,0,2016,9075,25.2,908.39
Neshoba County,MS,29465,29676,-0.7,7.4,28.1,14.7,52.2,60.4,21.2,16.4,0.4,0,1.5,2,59.1,1721,1.1,77.2,12.6,12359,5,73.2,75900,0,10829,2.69,87.3,11.1,24.4,37050,18693,24.1,241,1924,2868,2558,8565,52.1,570.14
Lavaca County,TX,19721,19263,2.4,6,23.6,21.9,51.3,90.7,7,0.6,0.4,0.1,1.2,17.7,74.5,1280,6,79.2,16.3,10362,4.1,79.5,92800,11,7711,2.45,89.7,18.1,27.2,44149,24299,8.3,90,2382,2211,1720,9224,19.9,969.71
Buchanan County,IA,21038,20958,0.4,6.8,26.6,16.2,50.2,97.8,0.5,0.2,0.4,0,1,1.4,96.6,1511,1,90.6,17.1,8990,7.8,78.1,122200,27,8187,2.52,91,6,20.9,55553,27038,9.9,115,6408,6245,2148,10242,36.7,571.02
De Soto Parish,LA,27142,26656,1.8,6.7,24.7,16,51.7,59.2,38.1,1.1,0.4,0.1,1.2,2.8,57.2,2243,1.1,77.7,11.3,12402,8.5,75.4,87900,54,10270,2.58,93.2,2.7,27.6,39162,21547,22.6,104,0,219,1844,7010,30.4,875.58
Adams County,ND,2384,2343,1.7,5.5,19.3,25.2,51.3,96.1,0.8,0.7,0.8,0,1.6,1.2,94.9,225,1.4,93,23.2,1385,18.3,73.5,106300,33,1101,2.05,86.6,4.5,18.5,47798,31502,9.9,0,0,310,307,13406,2.4,987.62
Crawford County,IA,17228,17096,0.8,7.2,25.5,16.9,49,93.8,2.3,1.2,1.7,0.2,0.8,27.3,68.5,1161,12.8,78.9,14.7,6985,11.8,75.9,83100,11,6300,2.65,88.2,22.5,15.1,46548,22748,15.8,129,12668,1219,1623,9840,23.9,714.19
McPherson County,NE,498,539,-7.6,3.8,25.3,19.9,50,98.2,0.4,0,0,0,1.4,1.6,96.6,32,0,94.4,26.3,280,3.2,69.2,142300,0,169,2.24,94.4,1.7,27.7,54926,25339,13.6,0,0,0,0,0,0.6,858.98
Schenectady County,NY,155735,154727,0.7,6,22.2,15.6,51.3,79.8,11.3,0.7,4.5,0.2,3.5,6.6,75.4,10946,8.6,90.4,29,68122,38,67.2,166500,228,58059,2.59,90.3,9.9,22.6,56061,28319,12.7,1518,17024,6016,16643,11074,756.6,204.52
Butler County,KY,12875,12690,1.5,5.8,22.8,17.5,50.6,97.5,0.7,0.5,0.3,0,1,4,94,802,1.7,75.5,8.2,5861,5.8,74.5,87300,0,5124,2.45,90.9,2.9,29.5,35430,18136,25.1,53,1204,0,579,4362,29.8,426.09
Oktibbeha County,MS,49414,47671,3.7,5.4,18,10.3,50.4,58.2,37.2,0.2,3.2,0.1,1.1,1.7,56.8,2216,3.7,86.4,42.6,21292,34.4,51.7,129200,257,18176,2.42,71.4,5.5,18.9,30987,20202,33.7,773,5143,1661,3878,8838,104,458.2
Jones County,TX,19936,20202,-1.3,4.8,17.8,14.4,37.1,83.2,13.4,1.3,0.7,0,1.4,27.1,59,1808,3.7,72.4,8.9,7402,3.6,80.2,61500,1,5641,2.33,77.9,19.3,23.4,41297,14827,18.5,46,0,3789,1633,8527,21.8,928.55
Davidson County,TN,668347,626681,6.7,7,21.5,11.1,51.8,65.6,28.1,0.5,3.4,0.1,2.3,9.9,56.9,38947,11.7,86.4,35.9,292895,37.2,54.7,167500,6413,256745,2.39,79.2,15.5,23.3,47335,28467,18.5,22029,73472,119425,105818,17029,1243.3,504.03
Pontotoc County,OK,38005,37492,1.4,7,23.8,15.7,51.2,70.8,2.5,18.2,0.8,0,7.6,4.8,67.4,2954,1.8,86.7,28,16684,11.6,66.6,99100,106,14793,2.47,80.7,4.1,17.6,41881,22381,18.8,471,5012,0,4089,11232,52,720.44
Hall County,GA,190761,179684,6.2,6.9,26.5,13.6,50.1,87.3,8.1,0.9,2,0.2,1.5,27.5,61.9,10555,15.4,78.8,22.8,69492,13.9,67.8,165300,722,61220,2.93,86.1,26.2,25.8,50853,23645,18.7,2240,60689,49145,22206,12417,457.5,392.78
Grundy County,IA,12375,12453,-0.6,6,23.4,19.8,50.9,98.3,0.5,0.1,0.3,0.1,0.8,1.2,97.1,894,0.4,93.9,20.7,5549,9.2,81.9,123700,19,5073,2.42,92,2.3,20.7,56827,31164,7,43,1438,2698,1093,9049,24.8,501.86
New Kent County,VA,20021,18429,8.6,4.8,20.9,15.1,49,81.9,13.7,1,1.1,0,2.3,2.6,79.7,1926,2.4,88.8,23.2,7898,0.3,89,253700,162,6886,2.65,87.6,2.8,31.9,70618,32068,5.9,96,0,0,1351,7837,87.9,209.73
Carroll County,IN,19923,20155,-1.2,5.3,23.2,17.7,50.3,97.7,0.6,0.3,0.2,0,1.1,4.1,94.3,1694,2.5,87.7,16,9434,7.3,78.8,103900,24,7995,2.5,88.4,4.6,25.7,50542,24531,10.7,184,0,0,1021,5153,54.1,372.22
Burleson County,TX,17253,17187,0.4,5.9,22.7,19.2,50.3,84,13.1,1.1,0.3,0,1.5,20.1,65.4,1310,6.4,77.7,11.6,8904,3.4,79.1,87800,8,6258,2.71,88.9,14.8,28.3,45651,21529,15,128,0,0,1838,11101,26.1,659.03
Greenwood County,SC,69520,69661,-0.2,6.3,23.1,17.1,53.2,65.1,32.1,0.5,1,0.1,1.2,5.8,60.4,4988,3.9,80.4,22.1,31125,17.7,66,104900,162,27004,2.49,83.5,6.3,21.2,36540,21053,23.1,860,28210,2711,7742,11313,153.2,454.73
St. Mary's County,MD,110382,105151,5,6.6,24.9,12,50.2,79.1,14.5,0.4,2.8,0.1,3.1,4.7,75.3,12902,3.9,90.3,29.5,43252,13,72.9,304700,457,37589,2.77,87.2,6.6,28.9,85672,36017,7.2,1322,0,0,11930,11883,294.4,357.18
Arkansas County,AR,18594,19019,-2.2,6.8,23,17.5,51.6,72.6,24.5,0.4,1,0,1.5,3,70.2,1389,2.2,84.1,12.4,9441,9.3,67.5,75500,18,7883,2.36,81.6,2.8,15.5,39633,23045,15.8,154,17021,1345,2863,14825,19.2,988.77
Tripp County,SD,5512,5644,-2.3,6.2,22.4,21.6,50.5,82.6,0.4,14,0.5,0,2.4,1.7,81.8,333,0.8,86.2,21.2,3068,11.8,68.7,72200,6,2530,2.15,89.3,3.9,15.6,39324,23270,20.6,81,0,704,883,15407,3.5,1612.45
Appomattox County,VA,15279,14973,2,6.1,21.9,19.1,51.5,77.6,19.9,0.3,0.4,0,1.8,1.2,76.6,1481,0.9,82.2,15,7081,3.3,80.2,145400,62,5803,2.58,95.5,1.2,28.6,50167,23636,17.7,72,0,167,1071,7551,44.9,333.49
Jeff Davis County,TX,2204,2342,-5.9,1.9,12,29.9,49.7,94.5,1.9,1.2,0.4,0,2,33.7,62.7,259,15.4,81.1,35.3,1616,2.3,74.7,104300,0,989,2.27,90.4,44.8,20.5,49056,26958,7.4,70,0,0,71,3227,1,2264.56
Modoc County,CA,9023,9686,-6.8,4.7,20.1,23.2,49.5,88.9,1.2,5.1,1.2,0.3,3.2,14.8,77.6,996,7.1,84.8,18.7,5238,4.8,68.8,164100,8,3983,2.23,84.7,12.8,16.9,36212,21200,21,87,0,0,530,5827,2.5,3917.77
Skamania County,WA,11340,11066,2.5,4.5,20.8,17.4,49.3,93,0.7,2.1,1.1,0.1,3,6,88,1285,4.4,89.6,20.8,5653,7.2,73.8,248200,34,4452,2.48,91.1,7.2,28.8,53712,28449,12.5,284,0,24,259,2418,6.7,1655.68
Levy County,FL,39613,40801,-2.9,5,19.8,22.9,50.8,87.2,9.5,0.7,0.7,0.1,1.7,8.1,80,4599,3.2,81.1,11.1,19856,5.2,77.5,92200,49,15582,2.54,83.4,6,28.1,34348,18304,23.7,324,1309,627,3463,8920,36.5,1118.21
Lee County,SC,18343,19220,-4.6,4.9,20.7,16.1,47.8,34.7,63.4,0.4,0.4,0,1,2.1,33.3,1131,1.4,72.8,9.1,7678,5.1,73.2,65000,9,6737,2.54,91.2,3.3,28.9,27373,14740,28,107,0,495,1545,7684,46.9,410.18
Knox County,KY,31798,31883,-0.3,6.7,23.8,16.9,51.5,97,1.3,0.2,0.3,0.1,1,1.1,96.1,1564,1,67.2,10.1,14451,11.4,64.4,71400,0,12350,2.53,86.6,1.4,19.2,24038,14367,34.7,274,2107,637,3186,9870,82.5,386.3
Prince Edward County,VA,23074,23368,-1.2,4.1,16.5,15.4,50.9,64,32.6,0.3,1.2,0.1,1.7,2.5,62.4,1452,2.3,79.5,21.9,9289,15.6,65.2,153400,52,7453,2.48,82.1,6,22.2,37436,17208,19.8,399,0,431,3505,16279,66.8,349.96
Ida County,IA,7042,7089,-0.7,7.1,23.8,21.6,50.1,97.8,0.4,0.4,0.4,0,1,2,95.8,626,0.5,89.4,19.6,3430,14.2,73.3,76400,11,3182,2.19,89.8,2.8,15.7,43449,25869,14.4,0,3729,1470,611,8758,16.4,431.51
Logan County,IL,29746,30305,-1.8,4.7,19,17.1,49.4,89.3,8.1,0.3,0.8,0,1.4,3.4,86.6,2276,1.8,85.8,16.2,12033,16.3,69,97200,13,10963,2.13,77.6,4.7,20.9,47133,21445,13.8,303,6315,0,2754,9219,49,618.06
Darlington County,SC,67799,68681,-1.3,5.8,23.1,16.5,52.8,56.7,41.2,0.4,0.5,0,1.1,2,55.3,4771,1.9,79.2,17,30214,7.9,69.7,87200,99,26609,2.52,88.4,2.6,22.9,36323,20105,24,539,24333,2261,5274,7902,122.4,561.15
Coffee County,AL,50909,49948,1.9,6.1,23.7,15.9,50.5,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3,6066,5.1,82.4,22.5,22852,13.5,69.9,131000,58,18820,2.65,83.3,7.5,21.3,43768,23380,18.6,500,6137,1315,6396,13665,73.6,678.97
Cache County,UT,118343,112656,5,9.3,31.1,8.6,50.1,93.2,0.8,1,2.6,0.5,1.9,10.5,84.2,4258,6.9,92.5,36.9,39368,23.2,64.5,189100,749,35375,3.12,78.3,13.8,16.6,49506,20074,16.6,951,0,3616,10950,10079,96.7,1164.81
Barbour County,WV,16766,16589,1.1,5.3,20.9,18.3,51.1,96.7,1,0.5,0.2,0,1.5,0.8,96.1,1312,0.4,78.3,11.5,7835,6.5,77.2,87900,30,6099,2.65,87.6,1.1,33.6,37327,17876,17.6,98,0,0,749,4848,48.6,341.06
Jackson County,MI,159741,160248,-0.3,5.5,22.1,16,48.8,87.8,8.3,0.4,0.9,0,2.5,3.4,85,12517,1.7,89.1,18.8,69077,15.8,73.1,112800,89,60100,2.52,82.7,3.5,23.3,46615,22613,17,1853,27829,0,16908,10393,228.4,701.67
Summit County,OH,541943,541781,0,5.7,21.7,16.2,51.5,79.9,14.8,0.2,2.8,0,2.3,1.9,78.4,40983,4.5,90.3,29.6,245155,22.6,67.9,135600,471,220375,2.42,88.8,5.9,22.6,49669,27818,15.4,8850,92754,70634,73842,13558,1312.6,412.75
Union County,TN,19113,19109,0,6.5,23.3,16.3,50.4,97.7,0.3,0.4,0.2,0.1,1.3,1.5,96.5,998,0.5,73.1,8.2,9085,6,81.7,95800,50,7406,2.57,90.7,1.3,34.1,34399,17426,23.6,57,1256,65,605,3198,85.5,223.55
New Haven County,CT,861277,862477,-0.1,5.3,21.1,15.6,51.8,78.8,14.2,0.5,4.2,0.1,2.2,16.8,65,51106,11.7,88.3,32.9,362262,40.2,63.7,256900,1140,328013,2.54,88,21.4,24,61996,32523,12.4,13458,104930,98907,117853,13970,1426.7,604.51
Candler County,GA,10888,10998,-1,6.3,25.6,16.7,50.4,73.2,24.5,0.2,0.8,0.1,1.2,11.2,62.8,770,6.9,78.5,14.6,4697,7.4,64,86700,0,3861,2.78,85,9.4,24,35070,17974,25.9,147,0,242,1145,10977,45.3,243.04
Moffat County,CO,12928,13795,-6.3,6.9,25.9,12.9,48.1,95.2,0.5,1.5,0.8,0.1,1.9,14.3,82.2,1193,5.6,89.2,15.6,6162,12.1,75.9,176500,9,5062,2.61,85.2,10.5,21.8,53231,24577,11.5,353,0,731,2130,15717,2.9,4743.29
Calvert County,MD,90613,88737,2.1,5.5,24.2,13,50.6,81.8,13.2,0.4,1.7,0.1,2.8,3.5,79,8561,3.1,92.9,30,34597,6.4,81.4,357000,213,30923,2.87,89.9,4.4,39.8,95477,38260,4.9,1107,0,436,7306,8291,416.3,213.15
Fremont County,CO,46502,46824,-0.7,4,16.5,20.3,42.3,91.5,4,1.9,0.8,0.1,1.7,13,79.4,5491,4,84.1,15.6,19223,10.9,70.7,159500,55,16938,2.1,82.9,11,23.3,39943,18954,17.6,408,1687,0,3524,7444,30.5,1533.07
Queen Anne's County,MD,48804,47798,2.1,5.3,22.3,17.3,50.3,89.8,6.9,0.4,1.1,0,1.7,3.4,86.9,4180,3.3,91.7,33.2,20765,6.4,84.5,348100,173,17292,2.75,90.2,5.6,33.9,87256,38108,8.1,1030,2387,2129,6182,13203,128.5,371.91
Westmoreland County,PA,359320,365169,-1.6,4.6,18.8,20.7,51.2,95.1,2.5,0.1,0.9,0,1.4,1.1,94.3,33249,1.5,92.1,25.3,168255,14.2,76.3,133600,391,152109,2.34,90.9,3.1,26.4,50736,28051,10.2,4543,70769,53905,41546,11441,355.4,1027.55
Trinity County,CA,13170,13786,-4.5,4.9,16.9,24,49,87.9,0.5,5.3,0.9,0.2,5.2,7.3,82.6,1648,3.4,91.3,21.3,8784,5,71.2,257400,30,5668,2.35,87.2,7.2,18.3,36890,22905,19.2,146,0,0,691,4966,4.3,3179.25
Clare County,MI,30652,30926,-0.9,5.4,20,21.8,50.2,96.6,0.7,0.8,0.3,0,1.6,1.9,94.9,3196,1,83.9,11.1,23120,4.7,80.4,80000,20,13215,2.29,87.1,3.9,26.1,32668,18148,26.5,288,1924,0,2461,8021,54.8,564.32
Jackson County,IN,43705,42376,3.1,6.9,24.2,15.3,50.2,95.9,1,0.3,1.3,0.2,1.2,6.4,90.1,2815,5.6,86.2,14.5,18524,12.5,73,117100,178,16713,2.52,85.7,7.1,20.3,46501,22568,13,584,25855,0,5295,12572,83.2,509.31
Lee County,IA,35286,35862,-1.6,6.2,21.6,18.6,50.1,94,3.1,0.3,0.6,0,2,3.4,91,3552,2,90,15.8,16173,13.5,73.9,83100,22,14241,2.44,89.2,2.7,17.9,42469,22649,15.1,369,0,3962,4207,11745,69.3,517.52
Caddo County,OK,29317,29600,-1,6.7,24.9,15.6,48.2,65,3,25.4,0.3,0.1,6.2,11.3,58.3,2704,3,83.2,13.7,13178,5.9,70.8,74900,12,10230,2.71,81.9,7.9,20.6,39267,17858,20.6,131,0,701,2344,8231,23.2,1278.29
Kings County,NY,2621793,2504700,4.7,7.6,23.3,12.1,52.6,49.3,35.2,1,12.1,0.1,2.4,19.5,35.8,50234,37.5,78.5,30.6,1022498,85.7,29.8,557100,7551,916025,2.73,90.5,46.3,41.1,46085,25289,23.2,15444,45556,138022,154318,6077,35369.1,70.82
San Diego County,CA,3263431,3095313,5.4,6.6,22.3,12.7,49.8,76.3,5.6,1.3,11.9,0.6,4.3,33.2,46.7,234211,23.4,85.5,34.6,1187625,35.8,53.8,402100,6875,1076483,2.83,83.9,37.4,24.4,62962,30668,14.4,95515,275410,337049,387106,13009,735.8,4206.63
Dixie County,FL,15907,16422,-3.1,5.6,19.1,22,46,88.5,9.1,0.4,0.4,0,1.5,3.7,85.1,2085,2.7,78.5,8.4,9155,3,78.5,85300,24,6130,2.49,87.1,2.9,25.7,33981,16851,17.4,73,0,0,491,3303,23.3,705.05
Indiana County,PA,87706,88880,-1.3,5,18.3,17.1,49.9,94.7,2.9,0.2,1.2,0,1,1.4,93.7,7074,1.7,87.8,21.9,38618,17.8,71.6,103000,54,34310,2.42,81.9,5.4,22.8,43997,22933,17.7,923,0,4922,12789,14627,107.5,827.03
